id,type,question,gold,retrieved,rr,hit@1,hit@3,hit@5
q01,일상어,신입사원은 입사하고 며칠 안에 규정 교육을 받아야 하나요?,jo-1,jo-1|jo-99|jo-3|jo-16|jo-11,1.0,1.0,1.0,1.0
q02,조항용어,제1조에서 규정집의 적용 대상은 누구로 정하고 있나요?,jo-1,jo-2|jo-1|jo-4|jo-34|jo-37,0.5,0.0,1.0,1.0
q03,일상어,토요일이나 공휴일도 영업일에 들어가나요?,jo-2,jo-38|jo-43|jo-14|jo-44|jo-2,0.2,0.0,0.0,1.0
q04,조항용어,규정집에서 '임원'은 어떻게 정의되어 있나요?,jo-2,jo-2|jo-1|jo-4|jo-3|jo-7,1.0,1.0,1.0,1.0
q05,일상어,회사 규정을 새로 만들거나 바꾸려면 어떤 단계를 거쳐야 하나요?,jo-3,jo-3|jo-1|jo-4|jo-8|jo-5,1.0,1.0,1.0,1.0
q06,일상어,정보보안 사고처럼 급한 일로 지침을 바로 시행할 수 있나요?,jo-3,jo-3|jo-67|jo-88|jo-13|jo-37,1.0,1.0,1.0,1.0
q07,일상어,규정 해석이 헷갈릴 때 누구한테 먼저 물어봐야 하나요?,jo-4,jo-4|jo-2|jo-3|jo-1|jo-31,1.0,1.0,1.0,1.0
q08,조항용어,규정 해석의 최종 권한은 누구에게 있나요?,jo-4,jo-4|jo-2|jo-11|jo-10|jo-3,1.0,1.0,1.0,1.0
q09,일상어,계약서에 회사 이름은 어떻게 적어야 하나요?,jo-5,jo-5|jo-69|jo-18|jo-2|jo-31,1.0,1.0,1.0,1.0
q10,일상어,정기 주주총회는 언제 열리나요?,jo-6,jo-6|jo-65|jo-46|jo-92|jo-66,1.0,1.0,1.0,1.0
q11,조항용어,임시 주주총회를 요청하려면 주주가 지분을 얼마나 가지고 있어야 하나요?,jo-6,jo-6|jo-19|jo-30|jo-10|jo-83,1.0,1.0,1.0,1.0
q12,조항용어,이사회 의결 정족수는 어떻게 되나요?,jo-7,jo-7|jo-57|jo-6|jo-19|jo-13,1.0,1.0,1.0,1.0
q13,일상어,지출 금액이 얼마를 넘으면 이사회 의결을 받아야 하나요?,jo-13|jo-7,jo-13|jo-7|jo-63|jo-6|jo-66,1.0,1.0,1.0,1.0
q14,일상어,TF나 프로젝트팀 같은 임시 조직은 어떻게 만드나요?,jo-8,jo-8|jo-9|jo-24|jo-83|jo-7,1.0,1.0,1.0,1.0
q15,일상어,부서별 업무 분장표는 얼마나 자주 갱신하나요?,jo-9,jo-9|jo-35|jo-65|jo-8|jo-10,1.0,1.0,1.0,1.0
q16,조항용어,직무 권한은 어떤 종류로 구분되나요?,jo-10,jo-10|jo-74|jo-24|jo-33|jo-56,1.0,1.0,1.0,1.0
q17,일상어,계약직 사원도 다른 직원을 지휘하고 감독할 수 있나요?,jo-10,jo-10|jo-33|jo-2|jo-42|jo-41,1.0,1.0,1.0,1.0
q18,조항용어,전결이란 무엇을 말하나요?,jo-11,jo-11|jo-14|jo-12|jo-65|jo-13,1.0,1.0,1.0,1.0
q19,일상어,전결로 처리한 문서에는 어떻게 표시해야 하나요?,jo-11,jo-11|jo-14|jo-74|jo-13|jo-12,1.0,1.0,1.0,1.0
q20,일상어,100만원 이하 소모품을 살 때는 누가 결재하나요?,jo-12,jo-71|jo-67|jo-13|jo-63|jo-61,0.0,0.0,0.0,0.0
q21,일상어,2천만원짜리 지출은 누구의 결재를 받아야 하나요?,jo-13,jo-13|jo-64|jo-63|jo-14|jo-11,1.0,1.0,1.0,1.0
q22,조항용어,전결 금액을 산정할 때 부가가치세는 포함하나요?,jo-13,jo-13|jo-11|jo-67|jo-44|jo-46,1.0,1.0,1.0,1.0
q23,조항용어,대결과 후결의 차이는 무엇인가요?,jo-14,jo-14|jo-65|jo-13|jo-4|jo-11,1.0,1.0,1.0,1.0
q24,일상어,후결은 며칠 안에 받아야 하나요?,jo-14,jo-14|jo-11|jo-1|jo-9|jo-3,1.0,1.0,1.0,1.0
q25,일상어,경력직 면접에서 전 직장 평판이 안 좋게 나오면 합격이 취소될 수 있나요?,jo-15,jo-15|jo-33|jo-16|jo-17|jo-18,1.0,1.0,1.0,1.0
q26,조항용어,제16조에서 정한 구비서류의 보존 기간은 얼마인가요?,jo-16,jo-16|jo-75|jo-60|jo-64|jo-20,1.0,1.0,1.0,1.0
q27,일상어,육아휴직은 최대 며칠까지 쓸 수 있나요?,jo-20,jo-20|jo-53|jo-41|jo-36|jo-40,1.0,1.0,1.0,1.0
q28,조항용어,제21조에 따른 정기 승진 대상자의 자격 요건은 무엇인가요?,jo-21,jo-21|jo-25|jo-48|jo-53|jo-18,1.0,1.0,1.0,1.0
q29,일상어,평가 결과에 불만이 있으면 며칠 안에 이의신청을 해야 하나요?,jo-26,jo-26|jo-25|jo-23|jo-17|jo-65,1.0,1.0,1.0,1.0
q30,조항용어,제24조에서 정한 인사 평가의 최종 평정 등급은 몇 단계로 구분되나요?,jo-24,jo-25|jo-24|jo-23|jo-21|jo-18,0.5,0.0,1.0,1.0
q31,일상어,회사를 그만두려면 며칠 전에 사직서를 내야 하나요?,jo-28,jo-28|jo-30|jo-17|jo-16|jo-14,1.0,1.0,1.0,1.0
q32,조항용어,제30조에 따르면 해고 예고는 언제까지 해야 하나요?,jo-30,jo-30|jo-28|jo-18|jo-3|jo-73,1.0,1.0,1.0,1.0
q33,일상어,회사 다니면서 따로 사업자등록 내고 장사해도 되나요?,jo-33,jo-33|jo-76|jo-22|jo-99|jo-5,1.0,1.0,1.0,1.0
q34,조항용어,제32조에 따라 비밀유지 서약서는 언제 제출해야 하나요?,jo-32,jo-68|jo-49|jo-100|jo-32|jo-28,0.25,0.0,0.0,1.0
q35,일상어,재택근무할 때 꼭 지켜야 하는 보안 사항이 있나요?,jo-37,jo-37|jo-1|jo-85|jo-31|jo-57,1.0,1.0,1.0,1.0
q36,조항용어,제36조에 따른 연장근로 가산임금의 가산율은 얼마인가요?,jo-36,jo-38|jo-42|jo-36|jo-35|jo-48,0.3333333333333333,0.0,1.0,1.0
q37,일상어,1년 동안 80% 이상 출근한 사람은 연차가 며칠 생기나요?,jo-39,jo-39|jo-53|jo-47|jo-48|jo-21,1.0,1.0,1.0,1.0
q38,조항용어,제40조에서 정한 본인 결혼 경조휴가는 며칠인가요?,jo-40,jo-40|jo-51|jo-39|jo-53|jo-34,1.0,1.0,1.0,1.0
q39,일상어,월급은 매달 며칠에 들어오나요?,jo-43,jo-70|jo-47|jo-43|jo-3|jo-42,0.3333333333333333,0.0,1.0,1.0
q40,조항용어,제42조에서 정한 기본급의 하한 기준은 무엇인가요?,jo-42,jo-42|jo-45|jo-35|jo-23|jo-25,1.0,1.0,1.0,1.0
q41,일상어,경영성과급은 보통 언제쯤 받게 되나요?,jo-46,jo-46|jo-25|jo-26|jo-21|jo-65,1.0,1.0,1.0,1.0
